"content_id","route_id","route_path","content_kind","source_file","source_sha256","source_bytes","source_text_sha256","destination_module","destination_sha256","sections","blocks","headings","links","unresolved_links","assets","alt_review_assets","schema_records","interactions_disabled","content_status","claims_status"
"content-blog-ai-receptionist-small-business-2026","route-blog-ai-receptionist-small-business-2026","/blog/ai-receptionist-small-business-2026","article","blog/ai-receptionist-small-business-2026.html","c068a99f432db83a0b172bc42952528e067d550705474895967a52327b70728c","26248","a80a021041dcce675a2a365cf7147fbc38b1d83ef64c809b6aacdde53b27f043","web/src/content/migrated/generated/blog/ai-receptionist-small-business-2026.ts","b773e2096fc0c315c1d220d67ba44085c8eb375ff178b4131077e21b809e7847","4","42","11","10","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-receptionist-uk-costs-roi-2026","route-blog-ai-receptionist-uk-costs-roi-2026","/blog/ai-receptionist-uk-costs-roi-2026","article","blog/ai-receptionist-uk-costs-roi-2026.html","058499c16a6e52fc6fad0122fa90649a2050e1d19445cd6fa32b617482f5b207","25211","01131f933b2546ffcd6b5ebb61b707b7eddc550f59239ad62d1778005106d1ee","web/src/content/migrated/generated/blog/ai-receptionist-uk-costs-roi-2026.ts","9a8160e577fb33f7d524bbc4840387930d952336b14e27c122229d9b9123c600","4","35","11","9","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-returns-triage-ecommerce-uk","route-blog-ai-returns-triage-ecommerce-uk","/blog/ai-returns-triage-ecommerce-uk","article","blog/ai-returns-triage-ecommerce-uk.html","1f9ba75abe2a019a91894cef5645c6b5f63fff946ddf0d49c3952527c0e27c92","30805","94895b40e5c4689801ec73a360be20d4f4327bdf690ebe9549edc39ffea26eac","web/src/content/migrated/generated/blog/ai-returns-triage-ecommerce-uk.ts","abac81bfb9ae946a484de0b64304a7f40fe488ea7951dce5c7be7108b086e1a3","4","52","13","23","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-viewing-feedback-estate-agents-uk","route-blog-ai-viewing-feedback-estate-agents-uk","/blog/ai-viewing-feedback-estate-agents-uk","article","blog/ai-viewing-feedback-estate-agents-uk.html","c37245a9213783054b11ff80385b4872f90ee1328bbbde1a31af1dbc781ce1c9","29840","0318f5c9e96d7466bf6bfb606a0a8cc249569b3516c068ae79b7127adce01703","web/src/content/migrated/generated/blog/ai-viewing-feedback-estate-agents-uk.ts","185cda786bcb6313a019cbf46619bf24e83c3b24cc90d36a0cc9e71b84566148","4","60","16","20","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-voice-agents-uk-smes-2026","route-blog-ai-voice-agents-uk-smes-2026","/blog/ai-voice-agents-uk-smes-2026","article","blog/ai-voice-agents-uk-smes-2026.html","90562a78fbc3d918b73435e42dacc474e4ea10d13e2bd291e06c66d6fe6a1377","25586","78d02a15576ef2ea6a200e81253e529963ecb2c82ed0acc274b321370b4aaffa","web/src/content/migrated/generated/blog/ai-voice-agents-uk-smes-2026.ts","38d3e4096c65a91b2038b7a9fa69bef40c3beb15e1122d118bf40f27e156ada5","4","35","8","9","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-website-tools-uk-small-businesses-2026","route-blog-ai-website-tools-uk-small-businesses-2026","/blog/ai-website-tools-uk-small-businesses-2026","article","blog/ai-website-tools-uk-small-businesses-2026.html","8031cfb6942242d1bfa2875f4ad77a04f13f1ecaf11d3c4772ef0a35ef66445f","25085","0fd0a22aa71b1d325fe35a87e989ae98345a38c41c524806e842684f2837f36c","web/src/content/migrated/generated/blog/ai-website-tools-uk-small-businesses-2026.ts","f04ad631750d60a1f615aeafb7568e4aca7aadb867d369aa06365e5838fbc730","4","32","8","11","0","1","1","2","0","refactor","review-pending"
"content-blog-ai-win-back-journeys-gyms-uk","route-blog-ai-win-back-journeys-gyms-uk","/blog/ai-win-back-journeys-gyms-uk","article","blog/ai-win-back-journeys-gyms-uk.html","53165787c735eebf09f806c52f7e69d7eb1d0af267806626e1e8d4bb32c16c98","29954","ad333e6dc71d125561471be8b8a22339eda5550ee9f4483ce9ef972bf5a7a86e","web/src/content/migrated/generated/blog/ai-win-back-journeys-gyms-uk.ts","d2b52e88d53ecdd56de64407aa201b1ec6379d71820d53ac3bc2adb0a55f2792","4","56","12","22","0","1","1","2","0","refactor","review-pending"
"content-blog-clinic-rebooking-physio-chiro-uk","route-blog-clinic-rebooking-physio-chiro-uk","/blog/clinic-rebooking-physio-chiro-uk","article","blog/clinic-rebooking-physio-chiro-uk.html","a771cda771718e7fc58a46dea60c22763ede1fd9b18f211d4ef9c4dd6718aa7c","31209","80373db46e555707f2d6a46910913f1701547d1ac6421618b87ca47ba94b41d8","web/src/content/migrated/generated/blog/clinic-rebooking-physio-chiro-uk.ts","4cd419765237d2161fc61eb13e40937d9dc4883713a95a49eda002ee0c0db5ee","4","52","13","20","0","1","1","2","0","refactor","review-pending"
"content-blog-dental-intake-e-consent-automation-uk","route-blog-dental-intake-e-consent-automation-uk","/blog/dental-intake-e-consent-automation-uk","article","blog/dental-intake-e-consent-automation-uk.html","bafc59ae5137e685c9aed668849867db7623046c20a73c3a4d11d387bb2faf99","31424","ad899c19316396dd5e3cccf347607b9574e23acda83f758566f34662b3911315","web/src/content/migrated/generated/blog/dental-intake-e-consent-automation-uk.ts","9b90330faccf5854bc7d8f1e4614360c1098b73952bd897b643b9b45b77adb36","4","51","21","18","0","1","1","2","0","refactor","review-pending"
"content-blog-dental-recall-automation-uk-2026","route-blog-dental-recall-automation-uk-2026","/blog/dental-recall-automation-uk-2026","article","blog/dental-recall-automation-uk-2026.html","0250857197d5f32199ca1714b92a5c2bb45cd1b36eccc5acce0b6aed389931d8","30649","a8ba0f7b653ca29903bb7b677bc7e64583d5708e7db3119f9b6a3a36d1693862","web/src/content/migrated/generated/blog/dental-recall-automation-uk-2026.ts","2262d890f8956e7bc4696b7f6bc142120cf8f664a05c4bb2147acec602244088","4","44","11","25","0","1","1","2","0","refactor","review-pending"
"content-blog-dm-to-client-automation-uk-fitness-coaches-2026","route-blog-dm-to-client-automation-uk-fitness-coaches-2026","/blog/dm-to-client-automation-uk-fitness-coaches-2026","article","blog/dm-to-client-automation-uk-fitness-coaches-2026.html","b60d19261ced9c9f6cfb889a5eb0a68ea9860424ec64c4bfb1a883c881a48f44","30798","0e5b5d0d8d5039ff6989bd16fbea27438eaf60798b95e70f8af32400d148ea9e","web/src/content/migrated/generated/blog/dm-to-client-automation-uk-fitness-coaches-2026.ts","849f9a3bb1da913afecea5da1603824397f14bf249a38a78c56bfea4d7723bc0","4","49","11","23","0","1","1","2","0","refactor","review-pending"
"content-blog-estate-agent-viewing-confirmations-uk","route-blog-estate-agent-viewing-confirmations-uk","/blog/estate-agent-viewing-confirmations-uk","article","blog/estate-agent-viewing-confirmations-uk.html","7d95abe041ed88215b1b5f2c6519e66d87ed488dd26fd0ebb8b6899d153366d4","31799","3103c5bc6e49b08a0d49b60d54aaf4fe8740df3fe5773308c1b496ea5b84ab9b","web/src/content/migrated/generated/blog/estate-agent-viewing-confirmations-uk.ts","1bb587cd219c47055297a62582ea7b0fd622cb60008ef5a67b8e810663548451","4","47","24","21","0","1","1","2","0","refactor","review-pending"
"content-blog-gym-booking-automation-uk-gyms-studios-2026","route-blog-gym-booking-automation-uk-gyms-studios-2026","/blog/gym-booking-automation-uk-gyms-studios-2026","article","blog/gym-booking-automation-uk-gyms-studios-2026.html","128ee7797fbfc70d921a1077f15e1a2f81bdf76277f25955ceb5a8540f9d14f6","30512","1b55111e9f462f3be735694199d69bd080728236b4b5dfe458971b0b8b1e56f7","web/src/content/migrated/generated/blog/gym-booking-automation-uk-gyms-studios-2026.ts","bbc45dc71a10ec20ce51273e0709e0d3a1519b52be7fc05cb8869f27faca5b5a","4","44","11","25","0","1","0","2","0","refactor","review-pending"
"content-blog-post-purchase-automation-uk-ecommerce-repeat-customers","route-blog-post-purchase-automation-uk-ecommerce-repeat-customers","/blog/post-purchase-automation-uk-ecommerce-repeat-customers","article","blog/post-purchase-automation-uk-ecommerce-repeat-customers.html","380d58354161b1bc498bbc6d036117daf379ee13d30c7a9447638a4fbf10623b","30790","ac7f99945f06dcdc1fb3292742d42e524774235e94a10373c4629c8b025a3bef","web/src/content/migrated/generated/blog/post-purchase-automation-uk-ecommerce-repeat-customers.ts","faa26a79577ba6cbb591e5c0fc7f5f5dd666cb41995742283629a737456c0a77","4","45","11","23","0","1","1","2","0","refactor","review-pending"
"content-blog-quote-chase-automation-uk-trades-accepted-jobs-2026","route-blog-quote-chase-automation-uk-trades-accepted-jobs-2026","/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","article","blog/quote-chase-automation-uk-trades-accepted-jobs-2026.html","f1f57c726ef347edc01201d6c6c7fc077107ff20e3b7da8b112a9162c1345d36","27759","1bdd9267f72cdd6d2d29e8253f8bdbe171e8a8bf4bc171189d2d24a7b85482dd","web/src/content/migrated/generated/blog/quote-chase-automation-uk-trades-accepted-jobs-2026.ts","53199e03e98b250c87ea928d0c36234940b34d51f803850ebe0499ec5717d93a","4","41","10","22","0","1","1","2","0","refactor","review-pending"
"content-blog-quote-follow-up-automation-uk-trades-2026","route-blog-quote-follow-up-automation-uk-trades-2026","/blog/quote-follow-up-automation-uk-trades-2026","article","blog/quote-follow-up-automation-uk-trades-2026.html","a7a414e8c2b0db307396bdc43935c29fb785903425c4b2ebe8ddfd644ee11a77","29795","242927ce4dfa07aeba0d5004bba77dd664f45208262802d9b03982319ebb072c","web/src/content/migrated/generated/blog/quote-follow-up-automation-uk-trades-2026.ts","abe0c957a15999ae8ebf20e08ecce2694c920c065312b4320a1701ce70d63fdf","4","43","11","24","0","1","1","2","0","refactor","review-pending"
